0.0039293,0.0019646,0.0039293,0.0340537,0.0157171,0.1080550,0.1021610,0.0451866,0.0183366,0.0058939,0.0091683,0.0347086,0.5920100,0.0006549,0.0137525,0.0104781
0.0074478,0.0011807,0.0039964,0.0718438,0.0093551,0.1642140,0.0215259,0.1581290,0.1554950,0.0090827,0.0061762,0.2133520,0.1360580,0.0037239,0.0299728,0.0084469
0.0124540,0.0043852,0.0143834,0.0768286,0.0166637,0.0894580,0.0647255,0.1361170,0.1091040,0.0391159,0.0177162,0.2166290,0.0887564,0.0156113,0.0571829,0.0408700
0.0114504,0.0114504,0.0152672,0.0801527,0.0114504,0.1068700,0.2251910,0.0954198,0.0648855,0.0114504,0.0152672,0.2061070,0.0610687,0.0038168,0.0610687,0.0190840
0.0159129,0.0067002,0.0092127,0.0854271,0.0167504,0.1298160,0.0628141,0.0661642,0.0159129,0.1130650,0.0309883,0.2110550,0.0854271,0.0184255,0.1038530,0.0284757
0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000
0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000
0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000
0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000
0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000,0.0625000
